title,address,content,url,image,create_date,update_date,start_day,end_day,open_time,close_time,category_id
뉴진스 민지 생일 카페: 롱브르378,서울특별시 용산구 한강대로10길 11-54 롱브르378,"🧸Ｍｉｎｊｉ'ｓ ２０ＴＨ Ｃｈａｐｔｅｒ🎂

한강로3가 65-168 카페롱브르378

𝟮𝟯.𝟬𝟱.𝟬𝟱 ~ 𝟮𝟯.𝟬𝟱.𝟬𝟳 🐕
𝗢𝗣𝗘𝗡 𝟭𝟭:𝟬𝟬 / 𝗖𝗟𝗢𝗦𝗘 𝟭𝟵:𝟬𝟬🐇

#Just_being_with_you
#It_is_enough_for_me
#생일축하해민지야
#롱브르378 #민지생일카페",https://twitter.com/MinZnius0507/status/1651599870183223296,,,,2023-05-05,2023-05-07,11:00:00,19:00:00,2
뉴진스 민지 생일 카페: 카페 BUD,서울특별시 용산구 한강대로10길 11-18 1층,"🌷𝟚𝟘𝟚𝟛 𝕄𝕀ℕ𝕁𝕀'𝕤 𝔹𝕚𝕣𝕥𝕙𝕕𝕒𝕪 ℙ𝕣𝕠𝕛𝕖𝕔𝕥🌷

⏰2023.05.05 ~ 05.07
📍카페 𝐁𝐔𝐃 (서울 용산구 한강대로10길 11-18 1층)

🎀민지의 생일을 맞이하여 생일 카페 이벤트를 진행합니다.

#오월의_아이_민지_너무나_눈부셔
#HAPPY_MINJI_DAY #민지 #MINJI #뉴진스",https://twitter.com/KimminjiCN/status/1652483077149724672,,,,2023-05-05,2023-05-07,11:30:00,18:00:00,2
뉴진스 민지 생일 카페: 카페무라노,서울특별시 강남구 강남대로110길 21,"✿ܓ✿ܓ

𝟤𝟢𝟤𝟥 𝖬𝗂𝗇𝗃𝗂 𝖡𝗂𝗋𝗍𝗁𝖽𝖺𝗒 𝖤𝗏𝖾𝗇𝗍
 “ 𝐴𝑖𝑟𝑝𝑙𝑎𝑛𝑒 𝑇ℎ𝑜𝑢𝑔ℎ𝑡𝑠 ”

✹ 𝟐𝟎𝟐𝟑.𝟎𝟓.𝟎𝟏 - 𝟎𝟓.𝟎𝟕
✹ 카페 무라노

#HAPPY_MINJI_DAY #Flight_to_Minji 
#민지 #MINJI",https://twitter.com/aptformj/status/1649686294505848837,,,,2023-05-01,2023-05-07,11:00:00,20:00:00,2
뉴진스 민지 생일 카페: 카페뮤즈,부산광역시 부산진구 전포대로209번길 39-4 2층,"💛 민지&amp;해린 생일이벤트 🤍

05.05 (금) ~ 05.07 (일)
11:00 ~ 19:00 (7일 18시까지)
카페뮤즈

✔️ 팔로우 + RT 추첨 3명 선물

 🐇 버니즈 많이 놀러오세요 🐰 

#NewJeans #뉴진스 #민지 #MINJI #해린 #HAERIN
#민지_해린_함께라_더_행복해
#우리가_사랑하는_뮤즈
#부산생일카페 #부산컨셉카페",https://twitter.com/cafe__MUSE/status/1652197995851710464,,,,2023-05-05,2023-05-07,11:00:00,19:00:00,2
뉴진스 해린 생일 카페: 카페뮤즈,부산광역시 부산진구 전포대로209번길 39-4 2층,"💛 민지&amp;해린 생일이벤트 🤍

05.05 (금) ~ 05.07 (일)
11:00 ~ 19:00 (7일 18시까지)
카페뮤즈

✔️ 팔로우 + RT 추첨 3명 선물

 🐇 버니즈 많이 놀러오세요 🐰 

#NewJeans #뉴진스 #민지 #MINJI #해린 #HAERIN
#민지_해린_함께라_더_행복해
#우리가_사랑하는_뮤즈
#부산생일카페 #부산컨셉카페",https://twitter.com/cafe__MUSE/status/1652197995851710464,,,,2023-05-05,2023-05-07,11:00:00,19:00:00,2
뉴진스 민지 생일 이벤트: 아우어모먼트,서울특별시 마포구 독막로18길 20 1층,"𝑀𝑖𝑛𝑗𝑖 &amp; 𝐻𝑎𝑒𝑟𝑖𝑛 𝑓𝑙𝑜𝑤𝑒𝑟 𝑠ℎ𝑜𝑝 𝑒𝑣𝑒𝑛𝑡
너에게 보내는 편지, 봄편지

민지와 해린이의 생일을 맞아,
플라워 이벤트를 진행합니다.

⊹ 𝗈𝗎𝗋 𝗆𝗈𝗆𝖾𝗇𝗍
⊹ 05.13 ~ 05.14

#봄을_닮은_민지에게
#오월에_피어난_해린에게",https://twitter.com/Adore_by2/status/1642059537506263041,,,,2023-05-13,2023-05-14,11:00:00,18:00:00,3
뉴진스 해린 생일 이벤트: 아우어모먼트,서울특별시 마포구 독막로18길 20 1층,"𝑀𝑖𝑛𝑗𝑖 &amp; 𝐻𝑎𝑒𝑟𝑖𝑛 𝑓𝑙𝑜𝑤𝑒𝑟 𝑠ℎ𝑜𝑝 𝑒𝑣𝑒𝑛𝑡
너에게 보내는 편지, 봄편지

민지와 해린이의 생일을 맞아,
플라워 이벤트를 진행합니다.

⊹ 𝗈𝗎𝗋 𝗆𝗈𝗆𝖾𝗇𝗍
⊹ 05.13 ~ 05.14

#봄을_닮은_민지에게
#오월에_피어난_해린에게",https://twitter.com/Adore_by2/status/1642059537506263041,,,,2023-05-13,2023-05-14,11:00:00,18:00:00,3
뉴진스 민지 생일 카페: 모멘트,부산광역시 부산진구 신천대로50번길 66 4층 카페모멘트,"𝐍𝐞𝐰𝐉𝐞𝐚𝐧𝐬 𝐛𝐢𝐫𝐭𝐡𝐝𝐚𝐲 𝐞𝐯𝐞𝐧𝐭
『𝐌𝐈𝐍𝐉𝐈』『𝐇𝐀𝐄𝐑𝐈𝐍』

🙏🏻RT추첨 틴케이스 증정

📍 부산 카페 모멘트
2023년 뉴진스 민지와 해린이의 생일을 기념하여 카페 &amp; 포토 프레임 이벤트를 진행합니다.

#NewJeans
#뉴진스
#민지를_만난건_행운이야
#해린이는_우리의_행복이야",https://twitter.com/HBD_NewJeans/status/1649290857269559296,,,,2023-05-07,2023-05-08,11:00:00,17:00:00,2
뉴진스 해린 생일 카페: 모멘트,부산광역시 부산진구 신천대로50번길 66 4층 카페모멘트,"𝐍𝐞𝐰𝐉𝐞𝐚𝐧𝐬 𝐛𝐢𝐫𝐭𝐡𝐝𝐚𝐲 𝐞𝐯𝐞𝐧𝐭
『𝐌𝐈𝐍𝐉𝐈』『𝐇𝐀𝐄𝐑𝐈𝐍』

🙏🏻RT추첨 틴케이스 증정

📍 부산 카페 모멘트
2023년 뉴진스 민지와 해린이의 생일을 기념하여 카페 &amp; 포토 프레임 이벤트를 진행합니다.

#NewJeans
#뉴진스
#민지를_만난건_행운이야
#해린이는_우리의_행복이야",https://twitter.com/HBD_NewJeans/status/1649290857269559296,,,,2023-05-14,2023-05-15,11:00:00,17:00:00,2
뉴진스 해린 생일 카페: 카페 비비드,서울특별시 마포구 독막로3길 28-18 1층,"[ 五月の青春 ]

𝟤𝟢𝟤𝟥 𝖧𝖠𝖤𝖱𝖨𝖭 𝖡𝖨𝖱𝖳𝖧𝖣𝖠𝖸 𝖢𝖠𝖥𝖤 𝖤𝖵𝖤𝖭𝖳

-

✿  5月13日 - 5月15日

✿  카페 비비드 

#해린이_카페에_환불이_어딨어
#오월의청춘_나의_해린이에게",https://twitter.com/our_515/status/1633862149452996610,,,,2023-05-13,2023-05-15,12:00:00,20:00:00,2
