title,address,content,url,image,create date,update date,start day,end day,open time,close time,category id
엔하이픈 정원 생일 카페: 롱브르378,서울특별시 용산구 한강대로10길 11-54 롱브르378,"𝟐𝟎𝟐𝟑 𝐉𝐔𝐍𝐆𝐖𝐎𝐍 𝐁𝐈𝐑𝐓𝐇𝐃𝐀𝐘 𝐄𝐕𝐄𝐍𝐓🌌

- 𝓣𝓪𝓴𝓮 𝓶𝓮 𝓽𝓸 𝓷𝓮𝓿𝓮𝓻𝓵𝓪𝓷𝓭 

🔹2023. 02. 07 - 02. 09 SEOUL
🔹️롱브르 𝟥𝟩𝟪

#𝐓𝐚𝐤𝐞𝐦𝐞𝐭𝐨𝐍𝐞𝐯𝐞𝐫𝐥𝐚𝐧𝐝
https://t.co/bhSUIIKvPM",https://twitter.com/and_1130/status/1619898992367927296,,,,2023-02-07,2023-02-09,10:00:00,20:00:00,2
엔하이픈 정원 생일 카페: 멜로우,서울특별시 마포구 잔다리로 30-11 1층 멜로우,"🎸 𝔾𝕆 𝕂𝕀𝕋𝕋𝕐 𝔾𝕆 ! 🎸

✰ 정원이의 스무번째 생일을 축하하며 생일카페 이벤트를 준비했습니다
✰ 특전 및 자세한 내용은 타래로 추가 될 예정입니다

✪ 홍대 멜로우
✪ 𝟐𝟎𝟐𝟑. 𝟎𝟐. 𝟎𝟗 - 𝟐𝟎𝟐𝟑. 𝟎𝟐. 𝟏𝟏

#정원이와_냥앤롤
#GO_JUNGWON_GO

#JUNGWON #정원 #ENHYPEN
https://t.co/npJBZUMmOZ",https://twitter.com/GOKittyGO_JW/status/1610503693757218818,,,,2023-02-09,2023-02-11,12:00:00,22:00:00,2
엔하이픈 정원 생일 카페: 파이드파이퍼,서울특별시 용산구 한강대로14길 8 파크빌라트 1층,"⋆⁺₊⋆ • 
⚑ 🅒🅐🅣ⓒⓗ ⓜⓔ ⓘⓕ ⓨⓞⓤ ⓦⓐⓝⓣ ˖˚˳⊹

정원이의 스무 번째 생일을 축하하기 위해 
생일 카페 이벤트를 진행합니다

✦ 𝗉𝗂𝖾𝖽 𝗉𝗂𝗉𝖾𝗋 𝟤𝟥.𝟢𝟤.𝟢𝟪 - 𝟤𝟥.𝟢𝟤.𝟣𝟢 
✦ 𝟤𝟥.𝟢𝟤.𝟢𝟪 - 𝟤𝟥.𝟢𝟤.𝟣𝟢 

#캣_치미이프유_원_트
#ENHYPEN #JUNGWON
https://t.co/p9x93TGW1L",https://twitter.com/CATch_meow/status/1612071657069514753,,,,2023-02-08,2023-02-10,10:00:00,20:00:00,2
엔하이픈 정원 생일 카페: 카페 비비드,서울특별시 마포구 독막로3길 28-18 1층,"𝗬𝗮𝗻𝗴𝗟𝗼𝘃𝗲𝗿𝘀𝗖𝗹𝘂𝗯! ✮

정원이의 스무 번째 생일을 기념하여 
생일 카페 &amp; 프레임 이벤트를 진행합니다!

✪ 카페 비비드
✪ 23.02.09 - 23.02.10

#yangloversclub 
#아기고양이_정원이의_스무번째_생일

#정원 #JUNGWON
https://t.co/samsOoemj3",https://twitter.com/romzzjw/status/1612677947986685954,,,,2023-02-09,2023-02-10,12:00:00,18:30:00,2
엔하이픈 정원 생일 카페: 메르시쿠키,서울특별시 용산구 한강대로10길 11-44,"𝐂𝐀𝐓 𝐲𝐨𝐮 𝐟𝐞𝐞𝐥𝐢𝐧𝐠 !

정원이의 생일을 축하하기 위해 
카페 이벤트를 진행합니다.💗

🔸𝟤𝟥.𝟢𝟤.𝟢𝟪 - 𝟤𝟥.𝟢𝟤.𝟢𝟫
🔹𝗆𝖾𝗋𝖼𝗂 𝖼𝗈𝗈𝗄𝗂𝖾 (메르시쿠키) 

#정원아_냥정원
#정원한도초과

#정원 #양정원 #엔하이픈 #JUNGWON #ENHYPEN
https://t.co/85wuux5090",https://twitter.com/Mydearest040209/status/1613532746932158465,,,,2023-02-08,2023-02-09,11:00:00,18:00:00,2
엔하이픈 정원 생일 카페: 노스폴,대구광역시 중구 중앙대로 392 4층,"𝐇𝐀𝐏𝐏𝐘 𝐉𝐔𝐍𝐆𝐖𝐎𝐍 𝐃𝐀𝐘

사랑하는 정원이의 생일을 맞이해
대구에서 생일 카페 이벤트를 진행합니다. 

♡ 2023.02.08.-10
♡ 대구 노스풀

#정원이의_빛나는_이십대_레쭈고
#EndlessLove_YJW

RT 추첨 1분께 필름 카메라와 특전을 드립니다. 
자세한 공지사항은 타래를 확인해주세요.
https://t.co/IpTa1nKysX",https://twitter.com/myyouxth/status/1609235215733620736,,,,2023-02-08,2023-02-10,13:00:00,21:00:00,2
엔하이픈 정원 생일 카페: 곰작,서울특별시 마포구 와우산로 140 1층,"𝙐𝙣𝙞𝙫𝙚𝙧𝙨𝙞𝙩𝙮 𝙤𝙛 𝙅𝙪𝙣𝙜𝙬𝙤𝙣-★ 

𝑊𝑒𝑙𝑐𝑜𝑚𝑒 𝑡𝑜 𝐽𝑢𝑛𝑔𝑤𝑜𝑛 𝑈𝑛𝑖𝑣𝑒𝑟𝑠𝑖𝑡𝑦 ✧ ˖˚˳⊹ 

정원이의 스무 번째 생일을 축하하기 위해 생일 카페 이벤트를 진행합니다♡ 

★ 23.02.07 - 23.02.09
★ 카페 곰작 

#University_of_Jungwon 

#정원 #JUNGWON  #ENHYPEN
https://t.co/OgulLyqbiB",https://twitter.com/nekonyangyang/status/1612395092538716160,,,,2023-02-07,2023-02-09,11:00:00,20:00:00,2
엔하이픈 정원 생일 카페: 이디야 용산중앙점,서울특별시 용산구 한강대로 52-1,"[𝐤𝐢𝐭𝐭𝐲'𝐬 𝐠𝐚𝐫𝐝𝐞𝐧] 양정원 졸업식 초대장
보낸 사람 ^ 𝐤𝐢𝐭𝐭𝐲'𝐬 𝐠𝐚𝐫𝐝𝐞𝐧
받는 사람 𝐞𝐧𝐠𝐞𝐧𝐞

정원이의 졸업과 생일을 축하해 주세요!

•◦❥ 𝟐𝟎𝟐𝟑.𝟎𝟐.𝟎𝟖 ~ 𝟐𝟎𝟐𝟑.𝟎𝟐.𝟎𝟗
•◦❥ 이디야 용산중앙점

#냥정원졸업축하대작전
#ENHYPEN #JUNGWON
https://t.co/iV9b2IlSPU",https://twitter.com/kittysgarden209/status/1611321409518862336,,,,2023-02-08,2023-02-09,08:00:00,22:00:00,2
엔하이픈 정원 생일 카페: 카페 비전문,부산광역시 부산진구 전포대로255번길 43-8,"𝟐𝟎𝟐𝟑 𝑱𝑼𝑵𝑮𝑾𝑶𝑵 𝒅𝒂𝒚

不撤晝夜 禎元

정원이의 스무 번째 생일을 맞이하여
부산에서 카페&amp;네컷 이벤트를 진행합니다.

⛔️ ᴠɪsɪᴏɴᴍᴏᴏɴ, 비전문
⛔️ 𝟮𝟯.𝟬𝟮.𝟬𝟵.~𝟮𝟯.𝟬𝟮.𝟭𝟭.

#컴온컴온_드루와_정원초과직전

#양정원 #JUNGWON
https://t.co/2pvoODG1nv",https://twitter.com/excess_garden/status/1615881023564451842,,,,2023-02-09,2023-02-11,12:00:00,19:00:00,2
엔하이픈 정원 생일 카페: 플랫,서울특별시 마포구 서강로9길 24,"-
𝖮𝖭𝖫𝖸 (ᴊᴡ) 𝖫𝖮𝖵𝖤𝖱𝖲 𝖫𝖤𝖥𝖳 𝖠𝖫𝖨𝖵𝖤 

𝟤𝟢𝟤𝟥 𝗃𝗎𝗇𝗀𝗐𝗈𝗇 𝖻𝗂𝗋𝗍𝗁𝖽𝖺𝗒 𝖼𝖺𝖿𝖾 𝖾𝗏𝖾𝗇𝗍 
&amp; 𝗆𝗂𝗇𝗂 𝖾𝗑𝗁𝗂𝖻𝗂𝗍𝗂𝗈𝗇 #for_jw_loversonly
https://t.co/9kw0TT6b2n",https://twitter.com/kiki_yjw/status/1616021705989967878,,,,2023-02-07,2023-02-09,12:00:00,20:00:00,2
